timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ema_fast,ema_slow,tr1,tr2,tr3,tr,atr,signal,trailing_stop,raw_stop,strategy_returns,position_change,transaction_cost,strategy_returns_gross
2020-01-01,7193.96,7193.75,7239.84,7174.58,18123516838.8979,130422953817.668,-0.00019459444494260061,7234.345120070464,7887.735083260796,65.26000000000022,44.69000000000051,20.56999999999971,65.26000000000022,188.52857142857152,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-02,7194.41,6963.85,7203.05,6953.31,20313194628.09452,126280790200.20206,-0.032480111159292016,7144.180080046976,7866.973620715609,249.73999999999978,9.300000000000182,240.4399999999996,249.73999999999978,185.92285714285723,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-03,6963.31,7300.35,7371.04,6891.25,31015776262.21867,132766262579.09486,0.047189809881726635,7196.236720031318,7854.240505643348,479.78999999999996,407.1899999999996,72.60000000000036,479.78999999999996,212.15928571428574,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-04,7319.41,7351.38,7376.23,7269.76,20611640058.34164,133474716218.18333,0.006965758492512528,7247.9511466875465,7842.940269561474,106.46999999999935,75.8799999999992,30.590000000000146,106.46999999999935,215.1242857142857,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-05,7348.62,7349.97,7473.64,7330.32,21929224570.56102,133388991086.87987,-0.0001918191192405128,7281.957431125032,7831.8622859758225,143.32000000000062,122.26000000000022,21.0600000000004,143.32000000000062,199.7064285714286,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-06,7350.06,7734.68,7752.96,7349.44,28148518761.51164,140557168287.4443,0.05101788119117712,7432.864954083355,7829.67841438086,403.52000000000044,402.9899999999998,0.5300000000006548,403.52000000000044,201.8185714285715,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-07,7734.45,8147.42,8147.42,7734.45,34823187724.289955,147798610895.50055,0.051987199943561734,7671.049969388903,7836.818674731851,412.97000000000025,412.7399999999998,0.23000000000047294,412.97000000000025,215.7107142857144,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-08,8138.67,8045.79,8388.78,7899.66,39971512000.06816,146089575425.2795,-0.012552339456942431,7795.9633129259355,7841.514659569338,489.1200000000008,241.36000000000058,247.76000000000022,489.1200000000008,241.3885714285716,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-09,8027.56,7832.8,8038.98,7778.17,29276053440.88472,141913856953.47913,-0.026828928203834104,7808.242208617291,7841.318824522836,260.8099999999995,6.8100000000004,267.6199999999999,267.6199999999999,244.30000000000018,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-10,7826.99,8180.51,8180.51,7688.29,35777298156.26295,146879934259.3087,0.043434450801690144,7932.331472411528,7848.941098129064,492.22000000000025,347.71000000000004,144.51000000000022,492.22000000000025,267.31928571428585,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-11,8151.94,8012.09,8217.85,8002.02,31504583511.03613,145561586658.57422,-0.020802844968659494,7958.917648274352,7852.607365586838,215.82999999999993,37.340000000000146,178.48999999999978,215.82999999999993,275.3407142857144,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-12,7983.41,8171.4,8171.4,7972.94,27533390875.51989,148204228775.38776,0.019688601930074504,8029.745098849568,7859.771245011852,198.46000000000004,159.3099999999995,39.150000000000546,198.46000000000004,274.2964285714287,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-13,8160.01,8110.65,8164.32,8054.45,27962176780.628242,147446058196.45944,-0.007462239939709934,8056.7133992330455,7865.408969843046,109.86999999999989,7.079999999999927,116.94999999999982,116.94999999999982,271.18571428571437,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-14,8099.45,8801.87,8832.87,8099.13,55384169405.51928,159481192213.82108,0.08178618602811422,8305.098932822031,7886.4530379364605,733.7400000000007,722.2200000000012,11.519999999999527,733.7400000000007,312.5007142857144,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-15,8795.71,8820.85,8859.04,8570.39,48160401007.254,159960761751.8495,0.0021540383480806754,8477.015955214689,7907.450722477214,288.65000000000146,57.17000000000007,231.48000000000138,288.65000000000146,328.4571428571431,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-16,8821.03,8720.92,8845.85,8585.49,36462155571.2176,158412991117.64667,-0.011393500314487973,8558.31730347646,7925.730930960872,260.3600000000006,25.0,235.36000000000058,260.3600000000006,329.21571428571457,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-17,8737.33,8902.57,8952.26,8660.3,41671910798.34088,161848747742.1508,0.020615262155898848,8673.068202317641,7947.6823707145595,291.96000000000095,231.34000000000015,60.6200000000008,291.96000000000095,315.7992857142861,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-18,8883.98,8906.9,8950.64,8805.15,36801813631.51236,161823609428.34625,0.0004862581632488282,8751.012134878429,7969.2378230580525,145.48999999999978,48.06999999999971,97.42000000000007,145.48999999999978,318.58642857142894,0,8275.687857142857,,0.0,0,0.0,0.0
2020-01-19,8905.12,8690.38,9167.74,8544.89,39242297095.94223,157906057309.30655,-0.024609590517258157,8730.801423252286,7985.443265236523,622.8500000000004,260.84000000000015,362.0100000000002,622.8500000000004,352.8385714285718,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-20,8690.27,8631.25,8728.03,8524.91,29527689342.88548,156848009983.54858,-0.006827328569251031,8697.617615501524,7999.955776130084,203.1200000000008,37.650000000001455,165.46999999999935,203.1200000000008,338.5242857142861,0,8275.687857142857,,-0.0,0,0.0,-0.0
2020-01-21,8631.41,8724.82,8760.28,8515.56,27057681779.746685,158564958350.98007,0.010782499327723639,8706.685077001017,8016.244859812554,244.72000000000116,129.03000000000065,115.69000000000051,244.72000000000116,326.506428571429,0,8275.687857142857,,0.0,0,0.0,0.0
