timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ema_fast,ema_slow,atr,signal,long_trailing_stop,short_trailing_stop,strategy_returns,position_change,transaction_cost,strategy_returns_gross
2020-01-01,7193.96,7193.75,7239.84,7174.58,18123516838.8979,130422953817.668,-0.00019459444494260061,7241.382529495933,7340.068630704986,188.52857142857152,0,8231.310428571429,,-0.0,0,0.0,-0.0
2020-01-02,7194.41,6963.85,7203.05,6953.31,20313194628.09452,126280790200.20206,-0.032480111159292016,7179.708634052393,7316.554966285925,185.92285714285723,0,8231.310428571429,,-0.0,0,0.0,-0.0
2020-01-03,6963.31,7300.35,7371.04,6891.25,31015776262.21867,132766262579.09486,0.047189809881726635,7206.517826485195,7315.542155893055,212.15928571428574,0,8231.310428571429,,0.0,0,0.0,0.0
2020-01-04,7319.41,7351.38,7376.23,7269.76,20611640058.34164,133474716218.18333,0.006965758492512528,7238.709420599595,7317.782021149739,215.1242857142857,0,8231.310428571429,,0.0,0,0.0,0.0
2020-01-05,7348.62,7349.97,7473.64,7330.32,21929224570.56102,133388991086.87987,-0.0001918191192405128,7263.433993799686,7319.79376982788,199.7064285714286,0,8231.310428571429,,-0.0,0,0.0,-0.0
2020-01-06,7350.06,7734.68,7752.96,7349.44,28148518761.51164,140557168287.4443,0.05101788119117712,7368.155328510867,7345.724159213638,201.8185714285715,1,7149.406142857143,,-0.001,1,0.001,0.0
2020-01-07,7734.45,8147.42,8147.42,7734.45,34823187724.289955,147798610895.50055,0.051987199943561734,7541.325255508452,7395.830149262785,215.7107142857144,1,7521.858928571428,,0.051987199943561734,0,0.0,0.051987199943561734
2020-01-08,8138.67,8045.79,8388.78,7899.66,39971512000.06816,146089575425.2795,-0.012552339456942431,7653.428532062129,7436.452639933861,241.3885714285716,1,7521.858928571428,,-0.012552339456942431,0,0.0,-0.012552339456942431
2020-01-09,8027.56,7832.8,8038.98,7778.17,29276053440.88472,141913856953.47913,-0.026828928203834104,7693.2888582705455,7461.224349937995,244.30000000000018,1,7521.858928571428,,-0.026828928203834104,0,0.0,-0.026828928203834104
2020-01-10,7826.99,8180.51,8180.51,7688.29,35777298156.26295,146879934259.3087,0.043434450801690144,7801.560223099314,7506.17970306687,267.31928571428585,1,7521.858928571428,,0.043434450801690144,0,0.0,0.043434450801690144
2020-01-11,8151.94,8012.09,8217.85,8002.02,31504583511.03613,145561586658.57422,-0.020802844968659494,7848.344617966132,7537.799096625191,275.3407142857144,1,7521.858928571428,,-0.020802844968659494,0,0.0,-0.020802844968659494
